time,latitude,longitude,uwnd,vwnd,nobs
UTC,degrees_north,degrees_east,m s-1,m s-1,count
2010-07-28T00:00:00Z,8.625,69.125,9.100897,1.5656474,1.0
2010-07-28T00:00:00Z,8.625,69.375,9.05817,1.4313618,1.0
2010-07-28T00:00:00Z,8.625,69.625,9.009339,1.2970762,0.0
2010-07-28T00:00:00Z,8.625,69.875,8.969664,1.1627907,0.0
2010-07-28T00:00:00Z,8.625,70.125,8.74382,0.86370015,1.0
2010-07-28T00:00:00Z,8.625,70.375,8.331807,0.40590855,1.0
2010-07-28T00:00:00Z,8.625,70.625,7.928951,-0.03051944,1.0
2010-07-28T00:00:00Z,8.625,70.875,7.5413537,-0.4638955,1.0
2010-07-28T00:00:00Z,8.625,71.125,7.4558992,-0.6287005,1.0
2010-07-28T00:00:00Z,8.625,71.375,7.648172,-0.5401941,1.0
2010-07-28T00:00:00Z,8.625,71.625,7.803821,-0.48220718,0.0
2010-07-28T00:00:00Z,8.625,71.875,7.97473,-0.4486358,0.0
2010-07-28T00:00:00Z,8.625,72.125,8.109015,-0.39980468,0.0
2010-07-28T00:00:00Z,8.875,68.125,9.027651,1.9959714,1.0
2010-07-28T00:00:00Z,8.875,68.375,9.128365,1.9074651,1.0
2010-07-28T00:00:00Z,8.875,68.625,9.195507,1.8067509,1.0
2010-07-28T00:00:00Z,8.875,68.875,9.253494,1.6968809,1.0
2010-07-28T00:00:00Z,8.875,69.125,9.2504425,1.5595434,2.0
2010-07-28T00:00:00Z,8.875,69.375,9.195507,1.4008423,1.0
2010-07-28T00:00:00Z,8.875,69.625,9.137521,1.2390893,0.0
2010-07-28T00:00:00Z,8.875,69.875,9.085637,1.0834402,0.0
2010-07-28T00:00:00Z,8.875,70.125,8.832326,0.79350543,1.0
2010-07-28T00:00:00Z,8.875,70.375,8.386743,0.37844107,0.0
2010-07-28T00:00:00Z,8.875,70.625,7.9503145,-0.021363609,0.0
2010-07-28T00:00:00Z,8.875,70.875,7.516938,-0.42116827,0.0
2010-07-28T00:00:00Z,8.875,71.125,7.51999,-0.49441493,1.0
2010-07-28T00:00:00Z,8.875,71.375,7.907587,-0.25331137,1.0
2010-07-28T00:00:00Z,8.875,71.625,8.264665,-0.03662333,0.0
2010-07-28T00:00:00Z,8.875,71.875,8.6553135,0.16480498,0.0
2010-07-28T00:00:00Z,8.875,72.125,8.795703,0.21973997,0.0
2010-07-28T00:00:00Z,9.125,68.125,9.268754,2.0448024,1.0
2010-07-28T00:00:00Z,9.125,68.375,9.3358965,1.9349326,1.0
2010-07-28T00:00:00Z,9.125,68.625,9.37252,1.8189586,1.0
2010-07-28T00:00:00Z,9.125,68.875,9.390832,1.6907771,2.0
2010-07-28T00:00:00Z,9.125,69.125,9.354209,1.5442837,2.0
2010-07-28T00:00:00Z,9.125,69.375,9.271806,1.3825307,2.0
2010-07-28T00:00:00Z,9.125,69.625,9.192455,1.2238296,1.0
2010-07-28T00:00:00Z,9.125,69.875,9.122261,1.0681804,1.0
2010-07-28T00:00:00Z,9.125,70.125,8.896417,0.8331807,1.0
