time,latitude,longitude,p_msl
UTC,degrees_north,degrees_east,hPa
2020-09-28T12:00:00Z,19.5,72.5,1007.1921844482422
2020-09-28T12:00:00Z,20.5,68.5,1007.9921875
2020-09-28T12:00:00Z,20.5,69.5,1007.7671813964844
2020-09-28T12:00:00Z,20.5,70.5,1007.5421752929688
2020-09-28T12:00:00Z,20.5,71.5,1007.2921752929688
2020-09-28T12:00:00Z,20.5,72.5,1006.9671936035156
2020-09-28T18:00:00Z,6.5,68.5,1012.0
2020-09-28T18:00:00Z,6.5,69.5,1012.0
2020-09-28T18:00:00Z,6.5,70.5,1012.0
2020-09-28T18:00:00Z,6.5,71.5,1012.0249938964844
2020-09-28T18:00:00Z,6.5,72.5,1012.0499877929688
2020-09-28T18:00:00Z,7.5,68.5,1011.9750061035156
2020-09-28T18:00:00Z,7.5,69.5,1011.9500122070312
2020-09-28T18:00:00Z,7.5,70.5,1011.9750061035156
2020-09-28T18:00:00Z,7.5,71.5,1012.0
2020-09-28T18:00:00Z,7.5,72.5,1011.9750061035156
2020-09-28T18:00:00Z,8.5,68.5,1011.9000091552734
2020-09-28T18:00:00Z,8.5,69.5,1011.8500061035156
2020-09-28T18:00:00Z,8.5,70.5,1011.875
2020-09-28T18:00:00Z,8.5,71.5,1011.8999938964844
2020-09-28T18:00:00Z,8.5,72.5,1011.8500061035156
2020-09-28T18:00:00Z,9.5,68.5,1011.75
2020-09-28T18:00:00Z,9.5,69.5,1011.6999816894531
2020-09-28T18:00:00Z,9.5,70.5,1011.6999816894531
2020-09-28T18:00:00Z,9.5,71.5,1011.6999816894531
2020-09-28T18:00:00Z,9.5,72.5,1011.6499938964844
2020-09-28T18:00:00Z,10.5,68.5,1011.5500030517578
2020-09-28T18:00:00Z,10.5,69.5,1011.5
2020-09-28T18:00:00Z,10.5,70.5,1011.5
2020-09-28T18:00:00Z,10.5,71.5,1011.4749908447266
2020-09-28T18:00:00Z,10.5,72.5,1011.3999938964844
2020-09-28T18:00:00Z,11.5,68.5,1011.3000030517578
2020-09-28T18:00:00Z,11.5,69.5,1011.25
