"Year","Month","Dates","UPW.1","UPW.2","UPW.3","UPW.4","UPW.5","UPW.6","UPW.7","UPW.8","UPW.9","UPW.10","UPW.11","UPW.12","UPW.13","UPW.14"
"2001","09",2001-09-16 00:00:00,1.89102267529215e-06,2.66310627028121e-06,5.51472848542289e-06,5.01615843044958e-06,8.18781054046092e-06,2.93397671142699e-06,2.96815807869448e-06,4.42144025631151e-06,3.61511428503002e-06,9.56227480082887e-06,2.34374773128082e-06,6.92815210185855e-06,4.43055023833239e-06,2.27405290232844e-06
"2001","10",2001-10-16 12:00:00,2.06364520949638e-06,2.10490671235362e-07,1.49687959515904e-06,1.2924032274005e-06,3.47252182661675e-06,3.67873557841584e-06,3.03785667238938e-06,4.72773024653263e-06,2.92549769636216e-06,5.82036346020021e-06,2.09042829596512e-06,5.75909944058701e-06,5.56889798506433e-06,2.23072157546638e-06
"2001","11",2001-11-16 00:00:00,-1.88235315441432e-06,-3.32651772026025e-06,1.26963277138101e-06,1.11348365801807e-06,-3.81924971430826e-06,1.48548160132052e-06,8.78990392066479e-07,1.29602208519555e-06,3.31896906935469e-06,2.07133387976875e-06,1.51034395806732e-06,2.2480360268286e-06,2.7917225156077e-06,1.30992091561538e-06
"2001","12",2001-12-16 12:00:00,-7.8278695845313e-07,-2.30364786129694e-06,2.85116400021273e-06,2.86814587191486e-06,8.02463863475156e-06,2.13854458790079e-06,-3.03996036552128e-07,-4.05059639352197e-06,3.82174310879865e-06,-3.62024716013714e-06,2.80048952339706e-07,2.15405463399872e-06,5.70841729805593e-06,4.92008195633094e-07
"2002","01",2002-01-16 12:00:00,2.72944180506166e-06,1.70187838820443e-06,1.27056660691561e-06,-5.94265169813942e-07,-5.23445689755893e-06,1.55793842248352e-06,-1.32341741450377e-07,-1.87859591801358e-06,5.039117302393e-06,5.64810312583031e-07,1.65220326401446e-06,-7.00753320764048e-07,5.72851070401725e-07,1.37238475624083e-06
"2002","02",2002-02-15 00:00:00,-4.28918437405511e-07,-1.78660252900629e-06,-1.93799674164882e-06,1.6020691634792e-06,-9.49180579823405e-06,-8.83900141003107e-07,-2.54781534953295e-07,-2.2854327928746e-06,1.6095860933095e-06,-3.36673678262927e-06,8.2775656963463e-07,1.37808084496079e-06,1.19502951023698e-06,1.55953568348925e-06
"2002","03",2002-03-16 12:00:00,-2.21948596208385e-06,1.05645998135859e-07,1.2439213219163e-07,-1.3280811317351e-07,-7.01171901495989e-06,-1.52378511209247e-06,-6.06576117137239e-07,-5.29517719022115e-07,-9.23433822379665e-07,-6.68846535051213e-07,-2.54766743747535e-07,-1.58451104813072e-06,-5.01673302233385e-07,2.83301334513191e-07
"2002","04",2002-04-16 00:00:00,-4.95027944324988e-07,7.00682289265698e-08,-2.11619424842517e-06,-3.82340924579931e-06,-9.07630660407222e-06,1.23319030663362e-07,-2.65343519513225e-07,-3.37799542466987e-07,-3.89393446496735e-07,-1.19892220161609e-06,-1.82688914899239e-06,-1.04078818803421e-07,-4.22209169126386e-07,4.70369861490423e-07
"2002","05",2002-05-16 12:00:00,1.65257624118453e-07,-3.87656644562639e-06,-3.71420583822851e-06,2.97727476879691e-06,9.82008344312964e-06,6.46186943295443e-07,6.14375437854621e-07,1.5280569531791e-06,2.52244539860826e-06,3.52695459142709e-06,1.89533795777211e-06,4.46382635468674e-06,3.48725816685658e-06,-7.52215632719318e-07
"2002","06",2002-06-16 00:00:00,-6.34509821679785e-06,-5.75657634921559e-06,-1.73811248407938e-06,-2.41025054936728e-06,1.6359161786421e-05,2.06790213603457e-06,3.28310459154737e-06,5.17645855881823e-06,5.51111697494676e-06,1.45949475105215e-05,2.0703020226534e-06,2.11683543560878e-06,-5.1214264369354e-06,-1.53291776347539e-06
"2002","07",2002-07-16 12:00:00,6.12227252929642e-06,7.44537016809469e-06,1.3027150934544e-05,6.19792813072451e-06,3.96060880619541e-05,3.19941000305862e-06,1.12360964945108e-05,1.04152642016423e-05,4.97328836794683e-06,1.81758436581361e-05,2.44816244695393e-06,5.87469532496875e-06,1.6692349055436e-06,3.87712139217213e-06
"2002","08",2002-08-16 12:00:00,6.68540674443928e-06,3.52615512571535e-06,2.79326423744599e-06,6.05371298023627e-06,2.58164155756306e-05,1.3917990740375e-06,6.20773456505026e-06,3.25999321027223e-06,3.22547881425612e-06,1.2555790671746e-05,-7.73268141812594e-08,2.40285807233895e-06,-4.31003455627632e-06,2.80468414207543e-07
"2002","09",2002-09-16 00:00:00,1.13179905197168e-06,3.6947761932544e-06,2.46676981822831e-06,5.03817420689863e-06,1.50692118341472e-05,2.02075818908254e-06,3.03404389037608e-06,4.97763701287795e-06,4.58505335295719e-06,7.05060789415224e-06,6.29710360721067e-07,1.16478073351625e-06,4.76035936802788e-07,2.29280572384535e-06
"2002","10",2002-10-16 12:00:00,2.77797899173038e-07,6.89443881026588e-06,3.60572261368159e-06,-7.87210701809945e-08,1.50504114530243e-06,2.68617838194984e-06,5.80215442868303e-07,1.13082870817144e-06,3.79753674862309e-06,2.28789462476521e-06,2.73848601169262e-06,4.10264964690588e-06,3.74007563945789e-06,2.24458307357138e-06
"2002","11",2002-11-16 00:00:00,-2.13164499612981e-06,-3.14070116363224e-06,-4.45135031016165e-07,1.00976912816482e-06,-2.36045421373884e-06,1.83900836195453e-06,-2.97282336169116e-07,8.42927622725073e-07,-1.8631487339385e-06,2.06206715014093e-06,-2.51828409734612e-06,8.42240976725755e-07,1.35602840294347e-06,9.72435348195731e-07
"2002","12",2002-12-16 12:00:00,-5.57085296548347e-07,-1.13902828101613e-06,-1.84755410130451e-06,-1.20330671945131e-06,-4.79160799879234e-06,9.26844457884822e-07,6.37091856625364e-07,-4.54434110138995e-06,2.67920007595095e-06,-4.24053355664983e-06,1.44869635371264e-06,9.68381338201439e-07,1.5807273884505e-06,1.8508668857084e-06
"2003","01",2003-01-16 12:00:00,-1.70143605051119e-06,-1.15957588159669e-05,1.24447911660623e-06,-2.60017796516188e-06,-9.57682971276923e-06,1.31047134956971e-06,-8.37863293757228e-07,-7.47712981324716e-07,5.97155916534128e-07,-3.6314348182786e-06,1.0191074636819e-06,1.39322162927983e-06,2.97485831820923e-06,8.08001760914865e-07
"2003","02",2003-02-15 00:00:00,1.80776738235321e-06,-9.36672082647223e-06,-2.44015499297554e-06,-3.9048669701081e-06,-1.00978985599909e-05,-7.97693417273787e-07,1.35216551892203e-06,-6.38342593050629e-08,-3.94987030353466e-07,-2.30092256653038e-06,4.30026317276389e-06,2.39775627242363e-06,3.46788275660259e-06,1.26916749455467e-06
"2003","03",2003-03-16 12:00:00,1.83774943051363e-06,-1.8312829046649e-07,-1.17386585231522e-06,-2.93690131895434e-06,-3.49493024787151e-06,3.88263611001341e-08,1.96582856001778e-07,-1.08222579728483e-06,-2.7286117499352e-07,-2.66654360774826e-06,1.10392023671953e-06,3.31554397676106e-07,-3.09249611446516e-06,1.52793035741661e-06
"2003","04",2003-04-16 00:00:00,-2.50114342638706e-06,-1.1903849366053e-06,-2.16372737169321e-06,3.91166226298978e-07,1.37116948126864e-06,-4.70179749093539e-07,3.53226352639226e-08,1.13168487525928e-06,4.29901778000702e-07,-9.91338649337223e-07,6.01060493382815e-07,1.38110212089085e-06,1.79062620944137e-06,7.30671996852443e-07
"2003","05",2003-05-16 12:00:00,2.06614135933592e-07,3.94969985014389e-06,1.66694776163298e-06,3.47127111499645e-06,1.08604228710962e-05,3.09019213608876e-07,2.67635684654047e-07,3.59513691743993e-07,3.2359627473742e-06,7.4248046381079e-06,-2.92069833138411e-07,3.10213768571368e-06,1.50094224142805e-06,9.06911544916796e-07
"2003","06",2003-06-16 00:00:00,-3.99777993410365e-07,-6.33683598343688e-06,-1.41035236194596e-06,-1.25065777082748e-06,8.89483658650739e-06,-1.17414066477155e-06,-2.62785453346104e-06,1.99811067558835e-06,3.10947984134886e-07,5.5344006228344e-06,-1.05788380673614e-06,5.15725611606575e-06,1.75517922467172e-06,-9.52507949930756e-07
"2003","07",2003-07-16 12:00:00,-1.56821570694541e-06,-8.50991279558125e-07,-9.31855289986002e-08,6.40187613972406e-06,1.25356761129164e-05,-2.79291634707204e-06,-6.16159891854823e-07,7.13045585484555e-07,8.47811078427993e-07,9.72371838850153e-06,1.07881785769031e-06,3.29243372204704e-06,-2.58547693881624e-06,-1.58386389748395e-06
"2003","08",2003-08-16 12:00:00,3.5770991033246e-06,9.37625312176167e-06,1.17917974658998e-05,1.13230776364048e-05,3.90319566921819e-05,3.27562587205457e-09,5.75744289800763e-06,8.22884412553118e-06,3.51468333945094e-06,1.01296169574467e-05,4.36614081164325e-06,2.62252285174215e-06,2.52436244001453e-07,2.30656554079466e-06
"2003","09",2003-09-16 00:00:00,7.44242471776092e-07,1.53737624634379e-06,5.99188749899525e-06,1.14719051182988e-05,2.45406696919304e-05,3.00764925610087e-06,3.22298829722895e-06,4.96823474943003e-06,2.2111589478798e-06,1.02849096015515e-05,-6.58829303885726e-07,6.63858408683839e-07,1.62790818016845e-06,8.14741258433774e-07
"2003","10",2003-10-16 12:00:00,4.68219710843443e-07,3.18369364846502e-07,8.60678490338017e-07,-7.18864236951925e-07,-2.37320516809573e-06,8.94342139446487e-07,1.68937864500854e-06,4.54606209379203e-06,2.53725905392028e-06,2.92485626017953e-07,4.39738621402987e-06,4.94135434686777e-06,4.84860053033831e-06,7.11817398359889e-07
"2003","11",2003-11-16 00:00:00,-2.96138538876297e-07,-4.40034734862736e-06,-1.13834114821223e-06,6.94602970030544e-07,7.86278339928098e-10,2.26629476938491e-06,-6.75723341950173e-07,-3.08907714907247e-06,2.83918612494127e-06,-4.5228371311202e-06,1.40697073284365e-06,-1.84807379355334e-06,1.05474829155128e-06,1.061148208936e-06
"2003","12",2003-12-16 12:00:00,6.53241752424094e-07,-8.9258783924307e-07,2.30812199543028e-06,3.18660878425211e-08,-1.13743947443282e-06,4.7983734772765e-06,1.27136272141554e-06,-4.39227863087884e-06,4.02508294116706e-06,-4.45925241664986e-07,3.97186494699947e-06,3.25551745640319e-06,4.33649597777475e-06,1.86718348874647e-06
"2004","01",2004-01-16 12:00:00,6.83520517132143e-07,-3.67041886452404e-06,-2.09615638479089e-06,-1.64735562816857e-06,-6.75767137003902e-06,1.72227959163958e-06,-7.5645314773152e-07,-3.87951899236573e-06,2.24141460776124e-06,-4.03467220482728e-06,-1.69665489773037e-07,-1.23204345170984e-06,3.13574995773891e-06,1.53626563606251e-06
"2004","02",2004-02-15 12:00:00,1.89877709075859e-06,-1.45554969427514e-06,-1.336856857134e-07,3.03578302146443e-06,-5.9847533613322e-06,4.24615394971162e-07,-4.34036368766483e-08,3.85597335614308e-07,9.64083299930471e-07,-4.82191851418705e-06,-8.78978224554723e-07,4.90674566744479e-07,1.88085803287663e-06,1.25365702863993e-06
