"Year","Month","UPW"
1996,10,200.176774062749
1996,11,25.5955557684847
1996,12,-215.206564999975
1997,1,-170.471978710242
1997,2,69.8912526903615
1997,3,285.483974207224
1997,4,488.647996847307
1997,5,764.404269573048
1997,6,505.178883324874
1997,7,868.089845408451
1997,8,952.099645156571
1997,9,438.875925104438
1997,10,62.6495413323784
1997,11,-36.2919350518605
1997,12,-176.996599593724
1998,1,-412.721181793693
1998,2,-188.009827460947
1998,3,383.137444594039
1998,4,375.641546483543
1998,5,437.934009316848
1998,6,443.662908816401
1998,7,510.776350755114
1998,8,439.328934840457
1998,9,365.208737059179
1998,10,39.6448572542511
1998,11,-30.3606713335299
1998,12,-454.2856996056
1999,1,-443.170235767408
1999,2,-313.270972956234
1999,3,180.365851305046
1999,4,750.47317887294
1999,5,236.874620847001
1999,6,440.606881716739
1999,7,506.975246360484
1999,8,545.527111979443
1999,9,320.616995530102
1999,10,123.614076926652
1999,11,9.84904243208736
1999,12,-143.745488550162
2000,1,-257.647696868216
2000,2,102.236150478998
2000,3,320.292931580328
2000,4,787.802179886238
2000,5,800.025279142364
2000,6,1136.22227061804
2000,7,490.665056849509
2000,8,680.505531877945
2000,9,533.907888544174
2000,10,396.852651009342
2000,11,25.5461893763859
2000,12,-323.808969555634
2001,1,-181.415494387284
2001,2,170.766408306832
2001,3,691.006321898615
2001,4,438.325845357439
2001,5,1026.70475703111
2001,6,740.023501009414
2001,7,694.636224723799
2001,8,942.331266861339
2001,9,270.667127852031
2001,10,244.839659386454
2001,11,6.14901504428166
2001,12,-388.626017612203
2002,1,-290.062193202152
2002,2,-208.964586046883
2002,3,185.043277477588
2002,4,396.168202340311
2002,5,711.07325697169
2002,6,444.274611208545
2002,7,698.333609160266
2002,8,600.405022996983
2002,9,660.791923669086
2002,10,275.256190475085
2002,11,22.9962008362347
2002,12,-221.95679733931
2003,1,-198.985581999247
2003,2,51.5391697189567
2003,3,368.863844750455
2003,4,736.402520200852
2003,5,1628.65538937393
2003,6,510.794904597531
2003,7,506.105117680977
2003,8,664.703498364662
2003,9,827.041195735993
2003,10,-33.1522795255465
2003,11,-985.037148870573
2003,12,-1108.77408223193
2004,1,-1127.61047488925
2004,2,-735.617943124133
2004,3,-333.720433837906
2004,4,-86.1194854075777
2004,5,-592.587847734481
2004,6,1155.32241157392
2004,7,813.713804185244
2004,8,1365.80017168989
2004,9,349.172499099193
2004,10,-173.316776519282
2004,11,-658.204109728258
2004,12,-916.63785242896
2005,1,-364.979783792537
2005,2,-184.242765078274
2005,3,62.4134902909772
2005,4,51.4228879995123
2005,5,413.285290305803
2005,6,983.802206750192
2005,7,1323.58572123219
2005,8,914.500662123524
2005,9,602.424514920483
2005,10,-31.3745483461627
2005,11,-551.172696552209
2005,12,-552.833802175031
2006,1,-636.110224111243
2006,2,-267.171156379281
2006,3,-0.347982373645047
2006,4,181.914555840738
2006,5,614.283486577557
2006,6,863.499202940873
2006,7,1751.42889310505
2006,8,1100.54080622489
2006,9,402.271215987343
2006,10,-56.6416795826367
2006,11,-451.66838567405
2006,12,-1013.54730197921
2007,1,-641.791491283145
2007,2,-208.456326984491
2007,3,-29.0662312583425
2007,4,32.1526706762184
2007,5,487.33515064571
2007,6,779.073723238394
2007,7,1090.50656391548
2007,8,948.728988368556
2007,9,587.730982980355
2007,10,-163.400150697969
2007,11,-367.230322271224
2007,12,-1105.99380562904
2008,1,-342.180841700266
2008,2,-234.582026280815
2008,3,-80.1164848043503
2008,4,22.5473116983761
2008,5,529.518620245456
2008,6,635.530951275369
2008,7,857.107583695216
2008,8,847.719342741948
2008,9,402.44828899767
2008,10,-185.267112558567
2008,11,-422.53441790462
2008,12,-666.709679035854
2009,1,-450.895643157056
2009,2,-42.8803211809098
2009,3,-10.313219265304
2009,4,230.021414614853
2009,5,528.455566604989
2009,6,937.532985319453
2009,7,1331.4100906365
2009,8,668.710137834929
2009,9,682.557216264579
2009,10,204.329111691511
2009,11,-254.621865253938
2009,12,-356.835639628613
2010,1,-240.477749783884
2010,2,-48.6599102373874
2010,3,258.823055821062
2010,4,395.886951849718
2010,5,570.453862218984
2010,6,379.48686226044
2010,7,345.464598967187
2010,8,565.253711060486
2010,9,203.108854961911
2010,10,143.235715384214
2010,11,-78.6990281803178
2010,12,-223.946791425937
2011,1,-232.725460154875
2011,2,-49.2641887605962
2011,3,80.7866439315711
2011,4,81.1307788309901
2011,5,410.192390167708
2011,6,560.943512464069
2011,7,568.46299559211
2011,8,520.766921619705
2011,9,426.107901062997
2011,10,-2.51581624342538
2011,11,-683.517610509635
2011,12,-448.621200752047
2012,1,-150.955480577786
2012,2,-60.6963907086602
2012,3,295.452581194173
2012,4,103.370589122399
2012,5,857.544201669656
2012,6,647.576946719155
2012,7,662.520321028731
2012,8,660.401542454044
2012,9,695.062913151007
2012,10,40.9224777568286
2012,11,-18.5925002386101
2012,12,-435.70428403783
2013,1,-173.392348929061
2013,2,-145.504870804754
