"Year","Month","EMTperp","We"
1988,7,-909.557270909068,0.64925324271849
1988,8,-859.373540100146,3.43016058621139
1988,9,-561.226037648498,8.73992679232903
1988,10,-353.881377737622,1.76744719441017
1988,11,-107.632523680744,-0.878813430660594
1988,12,-96.666254340746,-18.689151215614
1989,1,-151.643109279022,-19.2275269466986
1989,2,-143.313944811813,-6.49541963045288
1989,3,-149.595549633027,-1.2026930392917
1989,4,-219.448627462458,1.1278609344977
1989,5,-676.725381759494,12.1402129403444
1989,6,-696.683863495445,5.34433345397228
1989,7,-1207.5423209401,6.26129689855066
1989,8,-1291.38245849484,1.65583547283034
1989,9,-503.061483761674,8.01764310292429
1989,10,-172.329769756862,7.84297807725322
1989,11,-87.3852618018899,-4.6065463357762
1989,12,-117.319840535498,-25.3503545820885
1990,1,-96.3712712057827,-12.2745820882786
1990,2,-230.342779724927,-5.58811223685276
1990,3,-339.555164814706,-1.61076103360321
1990,4,-448.955801294451,1.15460548419271
1990,5,-519.226469901036,6.08704079451651
1990,6,-1052.43965310543,7.75765997573177
1990,7,-769.17906542131,0.640944239889559
1990,8,-1289.1518861254,3.03452831925586
1990,9,-822.843727574353,4.11446137314993
1990,10,-74.0007235509813,3.01999580639716
1990,11,-57.3487768233704,0.241413465985992
1990,12,-127.948694509701,-21.3763348576692
1991,1,-214.24029534553,-16.2480876820156
1991,2,-209.001817277679,-12.919633327865
1991,3,-193.56461253639,-0.780105040761304
1991,4,-245.364163104767,0.702266182356554
1991,5,-194.025684726719,4.08884395003891
1991,6,-659.032595100543,12.2216322150035
1991,7,-800.184432590004,0.0664739268544786
1991,8,-970.637563468946,-2.19973818250139
1991,9,-792.922861985966,5.57728392539802
1991,10,-160.230643374952,6.33157164444172
1991,11,-65.5752075909883,-3.05210837610395
1991,12,-129.508283161764,-18.1367519900568
1992,1,-130.074518202933,-28.3676996292943
1992,2,-332.167185241687,-1.99126074114169
1992,3,-154.278486488613,-2.05941856047925
1992,4,-239.512281996336,0.0859699018083691
1992,5,-279.071574594785,5.27842787598729
1992,6,-514.790761230442,10.8898548490792
1992,7,-871.559317665604,4.63086213400146
1992,8,-888.47653231842,6.1608697046216
1992,9,-587.286565293506,6.03760585339668
1992,10,-181.008131748768,6.30684709268136
1992,11,-60.8489191233899,0.660902136721718
1992,12,-120.249434594984,-30.408576194278
1993,1,-124.606990308648,-21.6231257890935
1993,2,-141.97960995547,-6.99706185484775
1993,3,-238.830550261664,-1.46774700451761
1993,4,-245.836076142226,-0.33060014255513
1993,5,-333.232602804476,6.09140288837732
1993,6,-589.03433925387,7.00711726661847
1993,7,-1134.0493623609,5.00937765838563
1993,8,-969.46268492765,4.08377822629479
1993,9,-572.60046594793,5.35071011194682
1993,10,-140.149754025568,4.82980528262288
1993,11,-46.7640909992816,-1.37139513513078
1993,12,-81.9896040387223,-6.4438468676418
1994,1,-116.151581147835,-20.1485156286587
1994,2,-404.898025721564,-3.13388910506993
1994,3,-117.76021587769,-1.89100649449446
1994,4,-161.421480347791,-0.136060057246744
1994,5,-582.246378660499,4.89377990242432
1994,6,-773.861760071992,3.94261400549167
1994,7,-721.232249493476,-1.13559874051743
1994,8,-758.316844276882,0.57474019687051
1994,9,-600.087259435984,0.705646382544553
1994,10,47.1110317203643,1.50332103183662
1994,11,-47.3283889414953,-5.77926055005636
1994,12,-168.791462850609,-24.2164183772478
1995,1,-162.13682195258,-18.2902536940723
1995,2,-203.791897892795,-9.73388303707132
1995,3,-226.575067066618,-2.55672408893658
1995,4,-94.5195173412171,-0.330509824635486
1995,5,-528.83939292013,8.0748989118331
1995,6,-581.02698577027,10.233257593258
1995,7,-765.645141649956,2.99889386458447
1995,8,-790.644886311617,7.12066794276948
1995,9,-792.271319755872,6.77010941748912
1995,10,-114.448021027263,4.3826394573553
1995,11,-172.109654234611,4.15514817254699
1995,12,-125.532008673886,-26.1512570231057
1996,1,-122.262700129745,-23.1138732733064
1996,2,-120.10511093696,-13.570062584967
1996,3,-176.522453542537,-1.77326326217914
1996,4,-301.840308118139,1.3522707291733
1996,5,-528.535157043857,5.15885505419742
1996,6,-633.227602427861,6.41539334630137
1996,7,-965.737218075947,4.88094511297731
1996,8,-1186.1050826358,5.89227882751532
1996,9,-719.80843840789,9.49319458137123
1996,10,-179.893873291421,7.13011859909804
1996,11,-124.454270635444,-0.34306095411335
1996,12,-34.3078426960145,-3.18152730846086
1997,1,-157.692793695802,-16.7561714178795
1997,2,-283.020552240619,-2.60103284248965
1997,3,-101.10309392745,-2.47447937375565
1997,4,-210.838539177543,-0.537129713701036
1997,5,-470.675915734699,3.7410193826495
1997,6,-178.769057331905,2.43881160347551
1997,7,-809.903829042196,1.30297917750972
1997,8,-889.636006635843,0.738076071343465
1997,9,-248.536704046095,6.69642481908541
1997,10,-0.0639084223297774,-0.648465503281293
1997,11,26.6395302841836,-1.36817682389206
1997,12,-84.9211073607927,-15.896284541558
1998,1,-175.374339496838,-27.9152387919519
1998,2,-242.56602230707,-6.76130165501075
1998,3,-267.673263796524,-2.72258620346932
1998,4,-139.885047259986,-0.608190751518605
1998,5,-261.822626319918,3.40345311149861
1998,6,-478.663410032113,8.25060929173494
1998,7,-1077.21356413525,6.54417562043745
1998,8,-764.154730397102,7.11588935843501
1998,9,-667.175920299462,10.6464853761402
1998,10,-334.515747156772,5.24722728700383
1998,11,-118.940474108962,4.9725008181048
1998,12,-47.3650420254698,-2.0962473326005
1999,1,-215.85956933625,-7.507139998231
1999,2,-157.60784477682,-11.9143947749807
1999,3,-181.991155679654,-0.849214491142847
1999,4,-686.989614671727,6.27532637006525
1999,5,-337.336809651267,11.3473312273556
1999,6,-556.94522425866,4.17838783605108
1999,7,-1027.67545420625,1.95944783985264
1999,8,-771.71841275113,4.04909238986729
1999,9,-468.574769409985,4.32367738997799
1999,10,-166.204204662725,13.4810952482258
1999,11,-79.5708257640232,-1.13978019016396
1999,12,-94.5734312973399,-13.8081508392356
