"Year","Month","Dates","SSH.1","SSH.2","SSH.3","SSH.4","SSH.5","SSH.6","SSH.7","SSH.8","SSH.9","SSH.10","SSH.11","SSH.12","SSH.13","SSH.14"
"1996","03",1996-03-16 12:00:00,2.0392308139801,2.05364467302958,2.07828523999169,2.08438879966736,2.04748568327531,2.02835359573364,2.0475320148468,2.08639958381653,2.0848951625824,2.07143762588501,2.07999877929687,2.07036717414856,2.0753600025177,2.05627536036305
"1996","04",1996-04-16 00:00:00,1.96703039646149,1.95495936075846,2.00849283876873,2.02001321315765,1.97767042595407,2.01671199798584,1.97532159805298,2.00609878540039,2.04607720375061,2.01575521945953,2.0497015953064,2.04420000076294,2.03408239364624,1.97527205698269
"1996","05",1996-05-16 12:00:00,1.94572320461273,1.9631440003713,1.95812476816631,1.97085279941559,1.99192824571029,1.9674684047699,1.9740163898468,1.98754399776459,1.98988320350647,1.97209680080414,2.00007840156555,1.96925280570984,1.98857160568237,1.95062092407463
"1996","06",1996-06-16 00:00:00,1.89228239536285,1.90391600131989,1.88825381369818,1.92154319763184,1.90915391756141,1.925441198349,1.94626958847046,1.9355068063736,1.95896080970764,1.9327979850769,1.99252398490906,1.97167520523071,1.99454878807068,1.90529845178742
"1996","07",1996-07-16 12:00:00,1.87134200572968,1.84195065498352,1.84113524073646,1.84413080215454,1.8381826048312,1.87454679489136,1.8626328086853,1.85866520404816,1.86365720748901,1.83809839725494,1.89585199832916,1.85566720485687,1.88868080615997,1.88360020671923
"1996","08",1996-08-16 12:00:00,1.82548159122467,1.80528333187103,1.83759951591492,1.85774680614471,1.86122043754743,1.8639763879776,1.84111918926239,1.83304559707642,1.84786559581757,1.86475120067596,1.85788239479065,1.83859159946442,1.84495320320129,1.85574268188673
"1996","09",1996-09-16 00:00:00,1.83735998630524,1.83679800033569,1.87121762548174,1.88042400360107,1.89208913367728,1.81653119087219,1.82591320037842,1.85662920951843,1.85567639350891,1.8903548002243,1.83601119995117,1.84400640010834,1.80840199947357,1.85912577516025
"1996","10",1996-10-16 12:00:00,1.85322799682617,1.87990866502126,1.875311425754,1.88768439769745,1.90250738807347,1.86085039615631,1.87925080776215,1.87371680736542,1.85599360466003,1.88195039749146,1.84389120578766,1.83097119808197,1.81413000106812,1.85245783550223
"1996","11",1996-11-16 00:00:00,2.00310759067535,1.99963665008545,2.01158428192139,2.00669640541077,2.00864827114603,1.95597481250763,1.97632160663605,1.97361640930176,1.97178520679474,1.99738961219788,1.91966600418091,1.96134920120239,1.91400440216064,1.98151659965515
"1996","12",1996-12-16 12:00:00,2.07502040863037,2.08629199663798,2.11507331757318,2.08991320610046,2.08597563660663,2.03066479682922,2.02695760250092,2.04269159793854,2.06094679832459,2.047184009552,2.02608600616455,2.07234799385071,2.0884580039978,2.04901114444143
"1997","01",1997-01-16 12:00:00,2.09539278030396,2.11862928072612,2.07130714825221,2.04270440101624,2.11212738700535,2.0625800037384,2.10779480934143,2.10956080436707,2.05357280731201,2.10317720413208,2.04954797744751,2.10811401367187,2.11100517272949,2.08242206720962
"1997","02",1997-02-15 00:00:00,2.04738198280334,2.06671597162882,2.06029571805681,2.02153879165649,2.01748438503431,2.0179455947876,2.07690797805786,2.07010599136353,2.01730642318726,2.00747200965881,2.03637161254883,2.01812999725342,2.07092319488525,2.00558536077283
"1997","03",1997-03-16 12:00:00,2.05911520004272,2.07357667287191,2.0592581090473,2.06170719146729,2.03514305404995,2.01977638721466,2.07313079833984,2.09258001327515,2.07462077140808,2.03759879112244,2.070452003479,2.02459238052368,2.04279479026794,2.02924794143008
